V1	V2
70e370dd-2c50-4d7a-abea-a73ba20c3121	1
7e8dc5ab-6f8a-4a97-bf76-e2b172beb363	2
df5d6a55-8aa9-40a4-92f8-78668e8a1c21	1
d12efe39-9b8c-43bf-ab7d-1ced530349b2	1
08731770-d138-4cfa-8c62-910831f37ba2	2
0360a7e8-452c-4011-92f1-61572567f914	1
aad9d463-bbfd-4633-98b1-3310befa9bf1	1
b4a059e7-471b-4a16-861e-65297db411d4	1
ed087095-7b6b-43d3-bb72-1a9c39e8fd73	1
574133dc-bee7-4091-9639-b85992a07be8	2
483187ca-5573-4383-9b16-aee63c3f1142	1
01b882e2-76f3-42b6-8706-5f4e4b8bb7ac	1
94b5cc32-5497-4842-a6fa-cdd95a1b113e	1
24088e7c-26d8-4e04-8c33-25131265f521	1
a13cdb73-3828-4d14-bf65-d8d5bfb41d24	1
44ecfc6e-0b6f-4fac-a1de-c387259f28d3	1
8e4bf6b6-9627-4e08-b1e6-8c4d103aecbc	1
6df4b811-620a-499b-ba3a-9155e6138630	2
0de5a1f5-043f-4ca4-8953-a1c92b028c23	1
a52d3acf-4dff-444b-8c98-453c60d95dfa	1
4d1d6661-e5c6-45b3-b537-4b37f682c8d5	1
4eca9f64-210a-4c3c-879f-6326b9187203	2
b42dd21e-37af-4c49-b415-93b702ce2eb2	1
41f5983d-8013-4aa4-b34e-4e9108636ec3	1
741b57b5-cd43-410f-a7c3-57b204a44496	1
7d101629-7af9-47a8-b334-964ff9671919	1
484b5ed4-70be-4d26-bd3d-2a6f01a261dc	2
02ab17e9-75a3-40b5-a131-78738ba9988c	1
06c013bc-ca4b-44bd-a840-436af68c0d6c	1
18e0fbd3-6a4d-4a8b-bf20-4b34b57700b6	1
58038e1d-4337-4b05-90c8-441cab1b4aa1	1
32e620d5-73ef-42c4-a3b7-437172378bc0	1
e9bf4ec7-2488-4f06-ab89-4c12c84da6fc	1
2784faf4-6095-4e08-bf8c-987c6ea5a80e	1
99dd92eb-0857-4750-b224-54e4d224aed0	1
a5968a36-8a84-463a-8309-7c02f8debd12	1
c6116ee7-b951-427f-923e-54809573fab0	1
ea0d10ae-3080-4915-8b91-a696ac2eb17b	2
4d433c8c-92dc-4302-8ab1-99c315819903	3
8f3f843e-c8cf-4dc3-9f15-b8a77818e464	1
b1e495ce-865d-4fd4-801e-0d5cf8b3d020	1
f7ad6d6b-f04a-492e-bb90-c184fa148848	1
2ebb485c-e0fc-412d-b71e-b3489442e4e5	2
622b3641-afc0-4ba0-94a5-663b7c3dfbaa	1
39a7340f-6c7b-42a9-8c14-4e5b6d3c1bed	1
dfc2dda6-e140-4bf6-96a9-0ee0bda3aaa1	4
5cf7a688-f225-4dec-b999-798d3f61c5d6	1
9ba20461-37fd-4af4-b7f8-5e4bf0b5be8e	1
c27512e1-6678-4884-8372-a97c8947e7d1	1
7a7882cc-4452-44ce-9a23-1bbe03def2f3	2
dcbfcf22-5535-469a-9953-61a2918bca4e	1
a78c3ab6-0c8b-40f8-964c-48992fcbd338	2
a635b711-07c1-4287-90eb-3cf2465f5d87	1
4df9aa8f-8f9e-4894-9647-e740c566fcb7	1
820d0ea3-315c-4081-a9ac-2c09e147b63d	1
ea1859e9-c023-4382-bc1c-97bbbfbf9c1b	1
990e372e-1739-4008-9d44-e757c07d8ab0	3
392bf7be-555c-4986-8a14-5b2b64ed35d5	2
5874f882-6d3f-4268-bf5a-77dd1b7c0a6c	2
cdb1c5fa-0c18-49f3-aa5e-bbe295d0f82a	1
5468c661-c293-40bb-8e96-3e40cc74253e	2
c671f33c-90f1-4853-91e3-03c9ccd3302c	1
6ceee8a0-f267-4090-94fc-7086de35ee84	1
42826009-2648-4fec-9a88-b456ec295867	3
a7dd5186-5fd6-421a-82c8-997798808415	2
967e5d7a-a2d8-43bb-853a-856940c2f5ee	1
808d2d6a-472b-413e-b63d-93f246d3fd8c	2
4ef580c9-ea9f-4b24-a5cf-fe3150823108	1
662c0289-018b-4de1-8c7f-b94bbd9776b0	3
707e8b5c-cfc9-42d2-b404-57dc96240985	1
3b9fdc80-58bb-4aa8-9851-08bf8b4ea74e	2
d5cafe2f-da35-4671-a74a-fbc1c1f023ab	4
85a239cf-5aa4-4bdc-9283-89d7d73e842c	1
e3232649-c9ce-444e-bc62-293825839d5e	2
044cffb5-29a2-4c17-94de-5232d72988dc	1
9f2f79ac-c5a9-4d79-84f8-879881db0a12	1
d23027f4-7541-4c00-b073-1aeb77a596ab	1
23c26b5a-6d29-4311-81fd-1d5491b2bf2c	1
35613019-053a-4782-8554-810045cc6729	1
cf77b230-780f-4208-ba09-307ad1068705	3
26118115-93e0-4225-8de9-07de6b8f08ae	1
a3402700-1a96-44ac-8580-0d360bd8ea6e	1
af4a77af-e167-4918-a434-c8af33587616	1
547e21ea-1297-47a1-9031-42d17ec4d5a0	1
935abccc-6f51-4487-9536-f45ef5c84fe1	1
94a129b9-fa90-4868-bd67-a7c721f05024	1
f9fe989a-16cd-4bde-9ff2-01e8233bd8ef	1
1e278154-d5d2-4c00-a509-89abbaca3efc	1
cf2e7347-864c-4e29-be6b-c9e309bc50e3	1
3a915ea1-fa67-43a7-9dd1-99534c387155	2
ff9666d1-83f5-4c5f-81d8-2b9de08d7f2a	1
e34c0e13-e64e-4ee6-9672-bc52d0dd43da	1
63570605-b253-4e1e-b3e8-b60700a44981	1
89115676-a6fe-448b-b22c-bb0582071923	1
530e6817-c517-403a-bcd9-ff6fee5fddba	2
65ab8bd2-e9e2-40e0-b28c-01461685015b	1
52c336f6-06ba-47b9-8444-ab94e06b7f49	1
9382d5b2-41ff-4310-8acd-4ad1fc144ae8	1
531a9a62-ec08-4195-9326-18f6fb418411	1
292cbbd4-ad20-43a7-959f-79f5af7cd498	1
55ee482f-ac19-4f88-8759-82354e3f0067	2
491c82b9-5048-4de8-a1aa-3b6bb19fbcb0	1
3b6ffa41-6801-4be7-ae8d-e71ea75405be	1
7d72bb49-07e4-4870-bb75-b3e1e90114b9	1
08b11391-bd33-48cf-8d92-8494426af255	2
f72be195-790f-4841-ba5d-6235403737c3	1
2af3cf36-1560-467e-a617-b2ae32b38147	1
2b150e3f-c753-4304-90a7-1595301abb67	4
4e3400ac-bd73-47f6-8998-061ff183877f	3
c90aa78e-cf1c-4dcb-8ae2-5aa86619f0cb	1
89cfa1e4-077d-4eee-98e5-34aa7c2aae6e	1
38493aa5-eb58-4929-aaed-94f8ec1f3084	1
03c341a0-cc83-44b4-9da3-42e46d4b27ce	2
130ead15-6872-4bd1-bbc2-a8391335883e	1
212fe125-f5cf-4611-8019-c6761efb6975	1
53bbcc8e-6783-4532-bf4a-3d9b3ab8c6bc	1
819377ac-2ab6-4cc8-85b0-7fd38cb9e04e	1
b6f184dc-d5c9-4b97-b2ce-aedf6dd8adc2	1
71349bc0-f7dc-44da-adf9-49f0bd913505	1
7cc71d28-f58e-409e-9938-f999d4dfd35d	1
04eb5b49-11b1-4539-ae96-21f75fd35b11	1
341ea471-53fb-49e0-a41b-bf6ce02992ce	1
ac4d9cef-38fd-4661-adb0-0a35730d020e	1
6ead6f19-ca07-4bdd-93d3-6a3e0fe14085	1
f91f6e33-7155-4d33-879b-b2a221498cb1	1
64296800-32f5-4481-ab2a-e298de5aa3b5	1
58b433c9-c0f1-4352-beab-6cee638518cc	2
9873e08d-3637-475e-a8b9-27aeb992896d	1
b2fe9bd5-ce9d-4841-ba5f-69c19b901614	1
8d88a94a-584b-4fb5-8599-384b768b5bda	1
d2da2093-3557-4cf7-9aea-01fbfc3a7112	1
2eff71e5-aacc-4e41-9b64-b86102dcb12d	4
4bdfd090-8b2c-4a1c-9fae-68b2d836c29c	1
3589f0f8-6b61-4987-880a-1c757862ab71	1
dc08b41e-dfec-4684-94d3-66e8e6fe24bc	1
8e0256d5-5e37-45ff-95ce-bfd3a8f57173	1
da115314-7712-415e-93f2-da911ace99c4	1
1f474bd9-9380-4d5e-aa0c-e639ea3088a6	1
77a6d815-6b2d-4bf1-bdce-8dc80372572f	1
413df158-e08a-4001-a482-8a85a0aadeac	1
361660b3-a9f8-4fcc-924c-428bd2e292a3	1
8a83b72c-2293-4945-91bf-42e6e8b1c632	1
cf7c56d4-2607-4d3d-bd5f-a061866ad11a	1
c0202590-2d8a-45dc-9d14-525da120b9d1	1
57ae6eec-caa4-4c78-a562-ad2ccb003486	1
3357fd84-a94b-40eb-a99d-c7ef93ad84ff	2
a6afe1f7-534f-4bbd-8a79-c7b0c87af205	1
100f87de-4dd9-4742-9a66-a38173238943	1
d5c90ab1-074a-4aaa-8f0d-eed1bda34a39	1
b7d65596-e8f9-4ccf-8394-d4941ef20f16	1
9bfaf521-7970-4c1a-98dd-0eb873100903	1
3f485e92-0e79-46f9-a04d-4dc72bd7b69a	1
4bd3b7ab-ca30-4bfe-bc49-188185d54d07	2
8ac27eed-8932-406f-9231-61acedfa640a	1
306d3424-1810-499a-adc6-d57214ba76ca	2
348ac455-77c1-4fa3-8f36-aae55935fdec	2
58e2b5d4-82ea-4e34-8c3a-86adfc6abe68	1
6a87ba58-8ad4-4926-9af9-b1ed72224bcf	5
44b4f60e-9f7e-4c49-9fa5-640e9b924cd0	1
69238023-b917-45c8-8c27-88913103d3a5	1
0de05b1e-6b44-438f-a17a-97b4a3ad61ac	4
36ff41f6-9e12-4104-a4e5-b0782cac39eb	2
6d3b0e71-5d4c-4def-b894-4f3e17f012e8	1
03b91094-8c8c-4fbc-a0c4-46db5f65250e	1
47de205a-ff98-4238-8fb2-4fdf42340f29	1
f82e5c46-9ab0-40c0-8fd8-9d5986dd5a37	1
05a936ad-fb02-453f-a312-19110928f247	1
c4c83fcd-6017-460c-8998-918d58b68448	1
df12a2c8-91c8-4cbe-831d-777a7cd0faa5	1
73122b8b-0a26-41e0-a3f5-e9cbb7afff25	1
ca5a2ae3-8521-4480-836a-6dc99555c4b3	1
9d682d98-01fc-41cb-957f-084d28248e34	1
63e47f62-6025-4c7c-ac30-331d78b8b20c	1
dd14f37a-bce6-4b51-b081-d8fb53f3fd53	2
87687fb0-6205-4569-972a-0bc3c3e04e80	1
3421c443-1e34-4ad4-8fa6-9fc84013965d	1
31fff573-3282-4d8d-b83a-04c2b72fe2d4	1
518c5b8c-689e-41de-bb31-719f748e0ba9	1
06bab4ba-4085-4750-bef2-2f1afe670993	1
c7a9926e-5e7e-4656-bb9c-4d7672be13c2	1
8dc4a3e8-2546-4a55-8911-dd1e92818e69	3
99a3862e-8202-4ca2-bec7-da7d31744e5c	1
08e4b137-1169-4e1e-be77-2ff75fbb06f6	1
453e333c-728b-4f73-a8d9-23756aa31c82	2
c0c5fc3e-0bcf-4f0e-9df8-2ab57912f946	1
7d46ce07-7218-4e8c-ad5d-aaa2e89f7307	2
03081cf5-4837-4989-a627-4af38c72462b	2
b3f6432a-c0df-4867-96c1-4c7c30d37d3e	1
c6b4058c-c4da-4be8-99b7-6da70e1acbf1	1
ed7c7e52-29f9-4c53-9918-b2eefdf4a9c1	1
abcbf0ce-932b-4a4b-b7e3-81898177ea27	2
5520648f-47fd-4868-80b7-159f2782df0f	1
6e93a7e7-6ecc-4b78-9fb8-734e13283091	2
10e3de75-a7b9-4eca-b9f1-66fe5a905b9b	1
25868b53-6987-4a27-885a-34c8f50e57ba	1
8459c07a-bc5b-4915-9919-f21b3ecbd8e1	1
cd50662c-d2f3-48c0-9228-4e818981f4e5	2
2a253a03-e9f9-491a-be51-2ba345b85434	1
7dd2948e-d4fd-4099-ab65-6934f3746941	2
271502df-de03-4d59-95a1-e4bd99d9b8e5	1
db7a2ecf-6532-486c-9452-a654fa822b5a	1
1058cd4f-e874-4b7d-9642-821875231223	2
04af6af8-7c09-4c6d-af45-e76dacb5339a	1
24a9e9d3-92fe-470f-abc5-8fab02a55a12	1
dca763f4-a158-45b6-b5b1-da91f3980bf4	2
0429a8b3-62aa-40dc-a744-9330be884af5	1
fc075964-bbee-4421-8ef7-4ae4f114ec76	1
